Country/Region,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Country/Region (group)
Finland,4.5,11.5,6.0,1.1,0.7,2.1,6.1,19.7,28.3,19.9,Europe
France,2.2,4.7,0.9,0.5,1.0,3.9,11.7,33.2,35.4,6.5,Europe
Gabon,0.2,2.8,25.4,29.3,20.9,12.6,2.5,2.2,2.6,1.5,Africa
Gambia,0.1,0.2,0.4,0.6,11.9,65.2,16.3,2.5,1.9,1.1,Africa
Georgia,0.1,0.2,0.1,0.1,0.1,0.2,2.5,17.1,50.6,29.0,Europe
Germany,5.3,6.7,1.5,0.9,1.1,2.5,3.5,17.6,39.6,21.2,Europe
Ghana,0.3,3.6,11.3,18.2,33.5,16.6,4.4,2.7,6.8,2.5,Africa
Greece,1.0,1.0,0.3,0.4,0.9,4.7,6.5,16.6,52.7,15.9,Europe
Grenada,11.6,15.9,4.3,0.0,1.4,0.0,0.0,5.8,18.8,40.6,Americas
Guatemala,0.0,0.4,3.5,10.1,24.5,18.8,13.7,12.5,10.9,5.7,Americas
Guinea,0.2,10.9,16.4,12.5,14.2,15.6,9.2,10.6,7.8,2.5,Africa
Guinea-Bissau,0.2,8.1,43.0,16.3,13.4,9.2,4.9,3.6,1.1,0.1,Africa
Guyana,0.2,1.2,1.2,1.5,2.8,15.0,26.7,21.3,20.9,9.0,Americas
Haiti,0.1,0.7,21.3,40.2,15.1,8.3,5.7,3.0,2.5,3.1,Americas
Holy See,18.5,18.5,3.7,0.0,0.0,0.0,0.0,55.6,0.0,0.0,Europe
Honduras,0.1,0.5,3.9,12.5,19.6,16.6,13.9,17.4,9.9,5.6,Americas
Hungary,0.2,0.8,0.4,0.1,0.1,0.6,7.2,17.2,50.0,23.5,Europe
Iceland,20.3,11.9,0.2,0.6,0.8,4.0,11.2,38.4,9.5,3.1,Europe
India,0.0,0.3,1.6,4.0,11.2,20.1,26.5,18.9,12.9,4.5,South-East Asia
Indonesia,0.2,1.4,2.6,4.8,8.3,10.7,18.0,19.7,20.7,13.5,South-East Asia
Iran,3.9,4.5,5.1,6.8,6.9,6.4,7.3,13.9,31.3,13.8,Eastern Mediterranean
Iraq,0.1,0.2,0.8,7.4,13.1,19.2,22.2,19.0,13.9,4.1,Eastern Mediterranean
Ireland,4.2,22.7,5.7,0.6,0.8,3.6,9.6,33.1,14.5,5.1,Europe
