" Montreal, QC",Quebec
"Calgary, Alberta",Alberta
Diamond Princess,Cruise Ship
"Edmonton, Alberta",Alberta
Grand Princess,Cruise Ship
"London, ON",Ontario
"Toronto, ON",Ontario
