Group,site
Eastern Mediterranean,https://www.iapb.org/wp-content/uploads/worldmap-eastern-mediterranean-cropped.png
Europe,https://www.iapb.org/wp-content/uploads/worldmap-europe-cropped.png
Africa,https://www.iapb.org/wp-content/uploads/Africa-map.jpg
Americas,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Americas_%28orthographic_projection%29.svg/1200px-Americas_%28orthographic_projection%29.svg.png
Western Pacific,https://www.iapb.org/wp-content/uploads/WPR_Map-400x267.jpg
South-East Asia,https://www.iapb.org/wp-content/uploads/worldmap-southeast-asia-cropped.png
