Country/Region,Confirmed,Active,Recovered,Deaths
Afghanistan,1.5936104884434985,1.0977999331959472,1.8265671885463703,1.7048768998332955
Albania,0.36665180636397693,0.5293654481705223,0.2909405542937784,0.31607953976866393
Algeria,1.7676643999472563,1.491423813044658,1.9002335937947068,1.7768795749157325
Andorra,0.044371608031261056,0.01733438495268713,0.05632557750897211,0.06468036914185016
Angola,0.09556639729751791,0.16054307294642542,0.06274810630132925,0.12447920098997577
Antigua and Barbuda,0.003934840712206169,0.0002666828454259558,0.005716050625197854,0.0036611529702934046
Argentina,15.054449404855342,11.850452260770487,16.90422423205984,9.229766638109673
Armenia,1.7973012853115327,0.7471119914608153,2.3426173770122665,1.0470897495039138
Australia,1.0550396309621732,0.6076368633030403,1.2907998366879379,0.6699909935636931
Austria,1.0760533547656572,0.41135828906953686,1.4057631020711308,0.894541709075022
Azerbaijan,1.4885000094185017,0.2464149491735832,2.1316373061833347,0.6358202325076213
Bahamas,0.07388291337280732,0.2012122068738837,0.014579140358650707,0.035391145379502914
Bahrain,2.0961817394088946,0.42895935686764997,2.997586863256848,0.2269914841581911
Bangladesh,12.542430350179893,14.513413813771368,11.994457871454498,4.915708054780612
Barbados,0.006865041242572465,0.003333535567824448,0.008477738005911424,0.008542690264017945
Belarus,2.9606327558745287,0.13040791141329242,4.437774719655013,0.7956905788770999
Belgium,3.451232044673,7.221771454134884,1.1747447414100443,12.198961697017625
Belize,0.030557805530962802,0.08960543606312116,0.0030828138203314267,0.012203843234311349
Benin,0.0885339160246388,0.04946966782651481,0.10950411590968923,0.04759498861381426
Bhutan,0.007241781310762418,0.007333778249213786,0.0075785839749814244,0.0
Bolivia,4.646418981001836,7.661798149087711,3.139010947264552,5.691872484482813
Bosnia and Herzegovina,0.7671264988498963,0.7580459881232795,0.775905703404666,0.6834152211214356
Botswana,0.06538533183474506,0.18134433488964996,0.012780832296790707,0.0036611529702934046
Brazil,153.62601850630935,69.45274679997253,194.76646111791436,142.2724044256017
Brunei,0.006027841091039238,0.0002666828454259558,0.008927315021376423,0.0036611529702934046
Bulgaria,0.6525556581125741,0.5888357227005105,0.6808522772777803,0.6980598330026092
Burkina Faso,0.05600869013757292,0.031068551492123855,0.06743655231974996,0.06712113778871243
Burma,0.021097443818637332,0.020934603365937533,0.021900823181937847,0.007322305940586809
Burundi,0.01799980325796439,0.011200679507890145,0.022157724333632133,0.0012203843234311349
Cambodia,0.011427782068428554,0.0012000728044168013,0.01695547601182285,0.0
Cameroon,0.7942099237519962,0.2697496981483543,1.0622862622558709,0.5003575726067653
Canada,5.3540205490777195,0.6611067738109445,7.309415793293737,11.149431178866848
Cape Verde,0.14935650703352776,0.11440694068773506,0.17167419461970634,0.04515421996695199
Central African Republic,0.19636529554211848,0.38095644469097795,0.11387143548849209,0.07444344372929923
Chad,0.041650707538778066,0.006267046867509962,0.05594022578143069,0.09396959290419739
Chile,16.78523513812756,2.075325903104788,24.049993991724314,13.372971416158377
China,3.7570194000205115,0.11627372060571675,5.405714033951157,5.7504509320075075
Colombia,23.530054438939853,19.83600338420531,25.398725038119313,21.831455161859573
Comoros,0.017455623159467793,0.0014667556498427572,0.025625889881504986,0.008542690264017945
Congo,0.5805983050882932,0.37695620200958857,0.6881097348131439,0.40150644240884337
Costa Rica,1.4778675674940298,2.9143101348148455,0.8396171890248488,0.4588645056101067
Croatia,0.3570658646289215,0.29748471407265376,0.39331566324395123,0.21356725660044862
Cruise Ship,0.030181065462772848,0.007333778249213786,0.04181066243824498,0.018305764851467024
Cuba,0.15672386836702018,0.07347112391485083,0.19922684313891847,0.11105497343223328
Cyprus,0.06170165116799886,0.06920419838803554,0.060050644208539256,0.024407686468622698
Czech Republic,0.9438594508385606,0.7293775822399893,1.0701217473825466,0.5076798785473521
Denmark,0.7076434280834605,0.1945451357382348,0.9520114428910987,0.7602994334975971
Djibouti,0.22533242078516816,0.0054669983312320945,0.3392379708123041,0.0732230594058681
Dominica,0.0008372001515332274,0.0002666828454259558,0.001156055182624285,0.0
Dominican Republic,3.8602043186969817,3.756494560670014,4.011511483706269,1.934309152638349
East Timor,0.0010883601969931956,0.0001333414227129779,0.0016056321980892848,0.0
Ecuador,4.563996626083389,1.0183284452590124,6.1030079849373715,7.771407371609468
Egypt,4.086332079626106,3.2807323644301087,4.349143822320484,6.465596145538153
El Salvador,1.0459141493104611,1.545560430666127,0.8167529865240574,0.8274205712863095
Equatorial Guinea,0.20620239732263393,0.13974181100320085,0.24373496766995345,0.1012918988447842
Eritrea,0.013185902386648332,0.005200315485806139,0.017726179466905703,0.0
Estonia,0.09602685738086118,0.02560155316089176,0.1308911367882385,0.07810459669959263
Eswatini,0.18112825278421377,0.1709437039180377,0.19004262696584776,0.10495305181507761
Ethiopia,1.828780011009182,3.6246198936068788,1.0145026480407338,0.8652524853126746
Fiji,0.0011720802121465185,0.0005333656908519116,0.001477181622242142,0.0012203843234311349
Finland,0.3340847204693344,0.07280441680128595,0.4559995442573569,0.4088287483494302
France,11.967859886182639,22.614171926430203,5.507768016461712,37.28152069649774
Gabon,0.3520008037121455,0.18627796753003015,0.44694377866013335,0.06468036914185016
Gambia,0.11243598035091244,0.26601613831239096,0.038599398042066406,0.10983458910880214
Georgia,0.0598179508270491,0.03466876990537426,0.07385908111210711,0.023187302145191564
Germany,9.945226180085939,2.3960120247295005,13.508697484828541,11.326386905764362
Ghana,1.8299939512289052,0.21387964203161658,2.687378722585998,0.3295037673264064
Greece,0.37619588809145577,0.9863265038078977,0.08651146283305067,0.2965533905937658
