Country/Region,Confirmed,percentage of active,active cases interval,percentage of recovered,recovered cases interval,percentage of deaths,deaths cases interval,WHO region
Lithuania,7041,55.3,very high active cases,43.1,very few recovered cases,1.59,few deaths cases,Europe
Luxembourg,10471,17.86,high active cases,80.87,few recovered cases,1.27,few deaths cases,Europe
Madagascar,16754,2.35,very few active cases,96.24,very high recovered cases,1.41,few deaths cases,Africa
Malawi,5842,15.85,high active cases,81.05,few recovered cases,3.1,high deaths cases,Africa
Malaysia,18758,33.71,high active cases,65.35,few recovered cases,0.94,few deaths cases,Western Pacific
Maldives,11154,10.08,few active cases,89.61,high recovered cases,0.31,very few deaths cases,South-East Asia
Mali,3378,20.22,high active cases,75.87,few recovered cases,3.91,very high deaths cases,Africa
Malta,4282,25.57,high active cases,73.38,few recovered cases,1.05,few deaths cases,Europe
Mauritania,7603,1.33,very few active cases,96.53,very high recovered cases,2.14,high deaths cases,Africa
Mauritius,417,10.31,few active cases,87.29,high recovered cases,2.4,high deaths cases,Africa
Mexico,841661,5.19,few active cases,84.62,high recovered cases,10.18,very high deaths cases,Americas
Moldova,65860,26.98,high active cases,70.67,few recovered cases,2.35,high deaths cases,Europe
Monaco,255,14.12,few active cases,85.1,high recovered cases,0.78,very few deaths cases,Europe
Mongolia,320,2.81,very few active cases,97.19,very high recovered cases,0.0,very few deaths cases,Western Pacific
Montenegro,15281,29.34,high active cases,69.16,few recovered cases,1.49,few deaths cases,Europe
Morocco,167148,15.16,high active cases,83.15,high recovered cases,1.69,few deaths cases,Eastern Mediterranean
Mozambique,10612,21.46,high active cases,77.86,few recovered cases,0.69,very few deaths cases,Africa
Namibia,12215,14.11,few active cases,84.81,high recovered cases,1.07,few deaths cases,Africa
Nepal,126137,29.64,high active cases,69.8,few recovered cases,0.57,very few deaths cases,South-East Asia
Netherlands,217821,94.55,very high active cases,2.35,very few recovered cases,3.11,high deaths cases,Europe
New Zealand,1883,2.12,very few active cases,96.55,very high recovered cases,1.33,few deaths cases,Western Pacific
Nicaragua,5353,18.2,high active cases,78.93,few recovered cases,2.88,high deaths cases,Americas
Niger,1209,1.16,very few active cases,93.13,high recovered cases,5.71,very high deaths cases,Africa
Nigeria,61194,12.7,few active cases,85.47,high recovered cases,1.83,few deaths cases,Africa
North Macedonia,22607,21.4,high active cases,74.97,few recovered cases,3.63,very high deaths cases,Europe
Norway,16272,25.39,high active cases,72.9,few recovered cases,1.71,few deaths cases,Europe
Oman,108296,12.0,few active cases,87.01,high recovered cases,0.99,few deaths cases,Eastern Mediterranean
Pakistan,322452,2.85,very few active cases,95.1,very high recovered cases,2.06,high deaths cases,Eastern Mediterranean
Panama,123498,17.54,high active cases,80.39,few recovered cases,2.06,high deaths cases,Americas
Papua New Guinea,578,5.88,few active cases,92.91,high recovered cases,1.21,few deaths cases,Western Pacific
Paraguay,53482,32.52,high active cases,65.31,few recovered cases,2.18,high deaths cases,Americas
Peru,859740,6.64,few active cases,89.45,high recovered cases,3.91,very high deaths cases,Americas
Philippines,351750,14.32,few active cases,83.83,high recovered cases,1.86,few deaths cases,Western Pacific
Poland,157608,42.13,very high active cases,55.69,very few recovered cases,2.18,high deaths cases,Europe
Portugal,95902,39.3,high active cases,58.46,few recovered cases,2.24,high deaths cases,Europe
Qatar,128992,2.14,very few active cases,97.69,very high recovered cases,0.17,very few deaths cases,Eastern Mediterranean
Romania,172516,23.01,high active cases,73.66,few recovered cases,3.33,very high deaths cases,Europe
Russia,1361317,21.01,high active cases,77.26,few recovered cases,1.73,few deaths cases,Europe
Rwanda,4965,5.38,few active cases,93.94,very high recovered cases,0.68,very few deaths cases,Africa
Saint Kitts and Nevis,19,0.0,very few active cases,100.0,very high recovered cases,0.0,very few deaths cases,Americas
Saint Lucia,32,15.62,high active cases,84.38,high recovered cases,0.0,very few deaths cases,Americas
Saint Vincent and the Grenadines,65,1.54,very few active cases,98.46,very high recovered cases,0.0,very few deaths cases,Americas
San Marino,759,4.22,very few active cases,90.25,high recovered cases,5.53,very high deaths cases,Europe
Sao Tome and Principe,932,2.25,very few active cases,96.14,very high recovered cases,1.61,few deaths cases,Africa
Saudi Arabia,341495,2.51,very few active cases,95.99,very high recovered cases,1.51,few deaths cases,Eastern Mediterranean
Senegal,15368,8.76,few active cases,89.17,high recovered cases,2.06,high deaths cases,Africa
Serbia,35719,97.84,very high active cases,0.0,very few recovered cases,2.16,high deaths cases,Europe
Seychelles,149,0.67,very few active cases,99.33,very high recovered cases,0.0,very few deaths cases,Africa
Sierra Leone,2325,21.59,high active cases,75.27,few recovered cases,3.14,high deaths cases,Africa
Singapore,57901,0.15,very few active cases,99.8,very high recovered cases,0.05,very few deaths cases,Western Pacific
Slovakia,26300,72.42,very high active cases,27.31,very few recovered cases,0.27,very few deaths cases,Europe
Slovenia,11517,47.0,very high active cases,51.44,very few recovered cases,1.56,few deaths cases,Europe
Solomon Islands,3,100.0,very high active cases,0.0,very few recovered cases,0.0,very few deaths cases,Solomon Islands
Somalia,3864,17.49,high active cases,79.94,few recovered cases,2.56,high deaths cases,Eastern Mediterranean
South Africa,700203,7.51,few active cases,89.87,high recovered cases,2.62,high deaths cases,Africa
South Korea,25108,5.6,few active cases,92.63,high recovered cases,1.76,few deaths cases,Western Pacific
South Sudan,2817,52.25,very high active cases,45.79,very few recovered cases,1.95,high deaths cases,Africa
Spain,936560,80.34,very high active cases,16.06,very few recovered cases,3.61,very high deaths cases,Europe
Sri Lanka,5354,36.53,high active cases,63.22,few recovered cases,0.24,very few deaths cases,South-East Asia
Sudan,13691,44.49,very high active cases,49.4,very few recovered cases,6.11,very high deaths cases,Eastern Mediterranean
Suriname,5113,1.62,very few active cases,96.24,very high recovered cases,2.13,high deaths cases,Americas
Sweden,103200,94.27,very high active cases,0.0,very few recovered cases,5.73,very high deaths cases,Europe
Switzerland,74422,29.29,high active cases,67.86,few recovered cases,2.85,high deaths cases,Europe
Syria,4987,65.97,very high active cases,29.2,very few recovered cases,4.83,very high deaths cases,Eastern Mediterranean
Taiwan,535,6.92,few active cases,91.78,high recovered cases,1.31,few deaths cases,South-East Asia
Tajikistan,10414,9.04,few active cases,90.2,high recovered cases,0.77,very few deaths cases,Europe
Tanzania,509,59.92,very high active cases,35.95,very few recovered cases,4.13,very high deaths cases,Africa
Thailand,3679,3.86,very few active cases,94.54,very high recovered cases,1.6,few deaths cases,South-East Asia
Togo,2027,23.48,high active cases,74.0,few recovered cases,2.52,high deaths cases,Africa
