Country/Region (group),Confirmed,Active,Recovered,Deaths,site
Africa,2.06M,356k,1.66M,46.6k,https://www.iapb.org/wp-content/uploads/Africa-map.jpg
Americas,38.4M,22.8M,14.7M,905k,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Americas_%28orthographic_projection%29.svg/1200px-Americas_%28orthographic_projection%29.svg.png
Eastern Mediterranean,5.08M,491k,4.47M,124k,https://www.iapb.org/wp-content/uploads/worldmap-eastern-mediterranean-cropped.png
Europe,29.2M,12.9M,15.7M,616k,https://www.iapb.org/wp-content/uploads/worldmap-europe-cropped.png
South-East Asia,12.2M,419k,11.6M,187k,https://www.iapb.org/wp-content/uploads/worldmap-southeast-asia-cropped.png
Western Pacific,1.14M,124k,991k,20.4k,https://www.iapb.org/wp-content/uploads/WPR_Map-400x267.jpg
